fecha,temperatura_c,humedad_pct,estacion
2026-07-01,25.1,61.1,Cruce-Norte
2026-07-02,24.84,65.5,Cruce-Norte
2026-07-03,25.47,60.1,Cruce-Norte
2026-07-04,25.89,57.6,Cruce-Norte
2026-07-05,25.15,65.2,Cruce-Norte
2026-07-06,24.78,67.5,Cruce-Norte
2026-07-07,25.81,60.3,Cruce-Norte
2026-07-08,26.26,59.0,Cruce-Norte
2026-07-09,25.34,63.3,Cruce-Norte
2026-07-10,24.93,65.9,Cruce-Norte
2026-07-11,26.26,55.4,Cruce-Norte
2026-07-12,28.54,50.0,Cruce-Norte
2026-07-13,30.81,48.4,Cruce-Norte
2026-07-14,32.99,44.9,Cruce-Norte
2026-07-15,35.0,39.6,Cruce-Norte
2026-07-16,36.48,38.1,Cruce-Norte
2026-07-17,36.64,31.7,Cruce-Norte
2026-07-18,37.15,28.1,Cruce-Norte
2026-07-19,35.27,29.3,Cruce-Norte
2026-07-20,37.95,23.7,Cruce-Norte
2026-07-21,37.38,25.9,Cruce-Norte
2026-07-22,36.87,29.5,Cruce-Norte
2026-07-23,30.85,58.7,Cruce-Norte
2026-07-24,28.23,69.2,Cruce-Norte
2026-07-25,25.12,77.5,Cruce-Norte
2026-07-26,22.98,80.4,Cruce-Norte
2026-07-27,22.2,73.8,Cruce-Norte
2026-07-28,23.04,71.7,Cruce-Norte
2026-07-29,23.99,67.9,Cruce-Norte
2026-07-30,24.51,60.8,Cruce-Norte
2026-07-31,26.82,52.4,Cruce-Norte
2026-08-01,29.74,44.8,Cruce-Norte
2026-08-02,32.28,37.8,Cruce-Norte
2026-08-03,34.5,30.8,Cruce-Norte
2026-08-04,36.23,27.9,Cruce-Norte
2026-08-05,36.9,24.7,Cruce-Norte
2026-08-06,33.0,39.8,Cruce-Norte
2026-08-07,30.31,48.2,Cruce-Norte
2026-08-08,28.33,54.9,Cruce-Norte
2026-08-09,27.09,59.9,Cruce-Norte
2026-08-10,26.51,61.3,Cruce-Norte
2026-08-11,26.81,58.0,Cruce-Norte
2026-08-12,27.05,60.7,Cruce-Norte
2026-08-13,26.91,59.7,Cruce-Norte
2026-08-14,27.16,60.4,Cruce-Norte
